Aircraft History Prepared 12/30/2022 14:07:31 Local Time

Display:,Date/time from 11/23/2022 - 0600 UTC to 11/24/2022 - 0559 UTC.
,Classification Tower Count
,Classification TRACON Count
,Time in UTC
,Sorted by Callsign

Filters:,Classification Tower Count:  BPT

Callsign,Date,Time,Category,Type,Msg,Rules,Apt,Alt,Bcn,Scr1,Scr2,ADE,Psn,APO,Twr,Rdr,Area,Airspace,Entry,Exit,Hdg,Spd,RY,WC,TA,X,Y,Fnct,S1,S2,S3,F1,F2,X2,AA,CM
NASA904,11/23/2022,14:54:24,GA,T38,CLA,IFR,BPT,010,4256,BPT,I12,A,3T,1,A,E,,t,EFD,BPT,120,180,???,S,41,66.53,-0.66,?,,,,17,0,11,,101:In arrival capture area.
NASA904,11/23/2022,14:54:24,GA,T38,CLD,IFR,BPT,010,4256,BPT,I12,D,3T,1,A,E,,t,EFD,BPT,120,180,???,S,41,66.53,-0.66,?,,,,17,0,11,,20:Practice approach departure counted.
NASA904,11/23/2022,15:03:00,GA,T38,CLA,IFR,BPT,010,4256,BPT,S34,A,3T,1,A,E,,t,EFD,BPT,346,192,???,S,41,70.17,-5.58,?,,,,17,0,11,,101:In arrival capture area.
NASA904,11/23/2022,15:03:00,GA,T38,CLD,IFR,BPT,010,4256,BPT,S34,D,3T,1,A,E,,t,EFD,BPT,346,192,???,S,41,70.17,-5.58,?,,,,17,0,11,,20:Practice approach departure counted.
NASA904,11/23/2022,15:13:58,GA,T38,CLA,IFR,BPT,013,4256,BPT,T12,A,3T,1,A,E,,t,EFD,BPT,132,181,???,S,41,66.64,-0.55,?,,,,17,0,11,,101:In arrival capture area.
NASA904,11/23/2022,15:13:58,GA,T38,CLD,IFR,BPT,013,4256,BPT,T12,D,3T,1,A,E,,t,EFD,BPT,132,181,???,S,41,66.64,-0.55,?,,,,17,0,11,,20:Practice approach departure counted.
PL00A,11/23/2022,19:11:08,GA,C182,APT,VFR,BPT,006,5342,BPT,,E,3T,0,G,O,,t,,BPT,078,107,,S,41,64.97,-4.87,?,V,V,,13,0,11,,204:Both TRACON and tower overflight count recorded.
PL00A,11/23/2022,19:30:52,GA,C182,APT,VFR,BPT,005,5342,BPT,,E,3T,0,G,O,,t,,BPT,240,126,,S,41,69.26,2.44,?,V,V,,13,0,11,,204:Both TRACON and tower overflight count recorded.
PL18,11/23/2022,14:53:01,GA,C185,APT,VFR,BPT,006,5355,JFA,,E,3T,0,G,O,,t,,BPT,076,100,,S,41,64.51,-1.28,?,V,V,,13,0,11,,204:Both TRACON and tower overflight count recorded.
PL18,11/23/2022,16:12:42,GA,C182,APT,VFR,BPT,007,0441,BPT,JFA,E,3T,0,G,,,t,,BPT,239,122,,S,41,69.22,2.47,?,V,V,,13,0,11,,205:No TRACON overflight because departure was counted.
PL3,11/23/2022,14:15:59,GA,C182,APT,VFR,BPT,007,5372,JFA,,E,3T,0,G,O,,t,,BPT,112,096,,S,41,65.32,0.49,?,V,V,,13,0,11,,204:Both TRACON and tower overflight count recorded.
PL4,11/23/2022,15:14:53,GA,C182,APT,VFR,BPT,008,5350,,JFA,E,3T,0,G,O,,t,,BPT,071,084,,S,41,64.53,-1.29,?,V,V,,13,0,11,,204:Both TRACON and tower overflight count recorded.
PL7,11/23/2022,16:00:05,GA,C182,APT,VFR,BPT,006,5365,BPT,JFA,E,3T,0,G,O,,t,,BPT,085,115,,S,41,64.99,-4.94,?,V,V,,13,0,11,,204:Both TRACON and tower overflight count recorded.
PL7,11/23/2022,16:17:21,GA,C182,APT,VFR,BPT,007,5365,BPT,JFA,E,3T,0,G,O,,t,,BPT,241,136,,S,41,69.25,2.48,?,V,V,,13,0,11,,204:Both TRACON and tower overflight count recorded.
PL8PG,11/23/2022,16:02:08,GA,C182,APT,VFR,BPT,011,5336,BPT,JFA,E,3T,0,G,O,,t,,BPT,052,130,,S,41,65.79,-5.91,?,V,V,,13,0,11,,204:Both TRACON and tower overflight count recorded.
SKW4935,11/23/2022,20:09:31,AC,CRJ7,CST,IFR,BPT,001,2762,BPT,,A,3T,1,A,E,,t,PE2,BPT,120,132,???,L,41,69.16,-2.19,?,,,,17,0,11,,109:Coasted in airport capture area
SKW4935,11/23/2022,21:32:07,AC,CRJ7,TRF,IFR,BPT,005,7227,,ROM,D,1J,1,A,E,,t,BPT,RAF,121,149,???,L,41,70.19,-2.80,?,,,,17,0,11,,90:Initial departure count.
SKW4998,11/24/2022,05:27:51,AC,CRJ7,CLA,IFR,BPT,010,2301,BPT,VA,A,1L,1,A,E,,t,PE2,BPT,121,112,???,L,41,66.60,-0.72,?,,,,17,0,11,,101:In arrival capture area.
SKW4999,11/23/2022,13:22:44,AC,CRJ7,TRF,IFR,BPT,000,2401,,ROM,D,1D,1,A,E,,t,BPT,RAF,000,158,???,L,41,70.15,-2.80,?,,,,17,0,11,,90:Initial departure count.
